,title,body,rating_item,rating_delivery,rating_seller,rating_marketplace,rating_total,split_ship,split_seller,split_market,split_product
10,"""Disappointing Purchase of Mobile Phone""","""Disappointing Purchase of Mobile Phone""Unfortunately, my recent purchase of a mobile phone did not live up to my expectations in several aspects. While the item itself was functional and usable, it fell short of my desired quality and left me feeling only somewhat satisfied. Additionally, the delivery process was subpar, and I was left waiting much longer than I anticipated. Moreover, my experience with the seller was disappointing, and their lack of effective communication left much to be desired.  Above all, my experience with the marketplace was disappointing, and I found the lack of support or effective resolution to be frustrating. I had hoped for a more robust and reliable shopping experience, but unfortunately, that was not the case.  While I appreciate the functionality of the mobile phone, I am let down by the several aspects that overshadow it. Ultimately, my overall rating for this purchase is only a 2 out of 5.  ",2,3,1,1,2,"  Additionally, the delivery process was subpar, and I was left waiting much longer than I anticipated","  Moreover, my experience with the seller was disappointing, and their lack of effective communication left much to be desired","   Above all, my experience with the marketplace was disappointing, and I found the lack of support or effective resolution to be frustrating"," ""Disappointing Purchase of Mobile Phone""Unfortunately, my recent purchase of a mobile phone did not live up to my expectations in several aspects While the item itself was functional and usable, it fell short of my desired quality and left me feeling only somewhat satisfied I had hoped for a more robust and reliable shopping experience, but unfortunately, that was not the case  While I appreciate the functionality of the mobile phone, I am let down by the several aspects that overshadow it Ultimately, my overall rating for this purchase is only a 2 out of 5  "
11,Satisfied with my Mobile Phone Purchase,"Satisfied with my Mobile Phone PurchaseI recently purchased a new mobile phone and overall, I am quite satisfied with my experience. When it comes to the item itself, it meets my basic needs and functions well. I did experience a few small hiccups with the phone, but nothing that was a deal breaker.   Delivery was prompt and efficient, arriving in a respectable time frame. Everything was packaged well and secure, which ensured the phone arrived undamaged.   The seller on this marketplace was top-notch. They were prompt with communication, answered all of my questions and concerns, and even went the extra mile to include some helpful tips and tricks for my new phone in the package. Hats off to a great seller!   As for the marketplace, it wasn't without its faults, but overall it was a positive experience. The browsing was a bit overwhelming at times, but the value was unbeatable. The prices of some of the products were very inexpensive compared to other mobile phone retailers.   ",1,4,5,4,4,"    Delivery was prompt and efficient, arriving in a respectable time frame","    The seller on this marketplace was top-notch Hats off to a great seller!   As for the marketplace, it wasn't without its faults, but overall it was a positive experience","    The seller on this marketplace was top-notch Hats off to a great seller!   As for the marketplace, it wasn't without its faults, but overall it was a positive experience"," Satisfied with my Mobile Phone PurchaseI recently purchased a new mobile phone and overall, I am quite satisfied with my experience When it comes to the item itself, it meets my basic needs and functions well I did experience a few small hiccups with the phone, but nothing that was a deal breaker Everything was packaged well and secure, which ensured the phone arrived undamaged They were prompt with communication, answered all of my questions and concerns, and even went the extra mile to include some helpful tips and tricks for my new phone in the package The browsing was a bit overwhelming at times, but the value was unbeatable The prices of some of the products were very inexpensive compared to other mobile phone retailers   "
12,"""Decent mobile phone, but marketplace experience could improve""","""Decent mobile phone, but marketplace experience could improve""I recently purchased a mobile phone and, while it's decent, I can't help but feel underwhelmed by my overall marketplace experience. As far as the phone itself, it seems to be in good condition and works well. It's not the best phone I've ever had, but it gets the job done. Delivery was prompt and mostly hassle-free, with very minor issues in terms of packaging. The only downside was the interaction with the seller. They seemed distant and uninterested in ensuring my satisfaction with the purchase. But my biggest complaint is with the marketplace. In lack of a customer support team and misinformation that causes confusion, I found the buying process frustratingly unreliable. ",3,4,3,2,2,"  Delivery was prompt and mostly hassle-free, with very minor issues in terms of packaging",  The only downside was the interaction with the seller," ""Decent mobile phone, but marketplace experience could improve""I recently purchased a mobile phone and, while it's decent, I can't help but feel underwhelmed by my overall marketplace experience But my biggest complaint is with the marketplace","  As far as the phone itself, it seems to be in good condition and works well It's not the best phone I've ever had, but it gets the job done They seemed distant and uninterested in ensuring my satisfaction with the purchase In lack of a customer support team and misinformation that causes confusion, I found the buying process frustratingly unreliable "
13,"""The [Mobile Phone Brand] Experience""","""The [Mobile Phone Brand] Experience""I recently purchased a [Mobile Phone Brand] from a certain online marketplace, and while I am extremely satisfied with the quality of the item, I must confess the delivery and seller experience left much to be desired.  The delivery itself took much longer than I anticipated, resulting in delayed productivity and frustration on my end. Additionally, the correspondences with the seller were limited and unsatisfactory, making me regret not allocating more time to research their reputed customer service.  Nonetheless, I am pleased with the fact that the smartphone has thus far functioned smoothly with no signs of defective or malfunctioning software! Had the delivery and seller experience been more efficient, perhaps my overall experience would have been wonderful.  ",5,2,1,5,3," ""The [Mobile Phone Brand] Experience""I recently purchased a [Mobile Phone Brand] from a certain online marketplace, and while I am extremely satisfied with the quality of the item, I must confess the delivery and seller experience left much to be desired  The delivery itself took much longer than I anticipated, resulting in delayed productivity and frustration on my end  Nonetheless, I am pleased with the fact that the smartphone has thus far functioned smoothly with no signs of defective or malfunctioning software! Had the delivery and seller experience been more efficient, perhaps my overall experience would have been wonderful"," ""The [Mobile Phone Brand] Experience""I recently purchased a [Mobile Phone Brand] from a certain online marketplace, and while I am extremely satisfied with the quality of the item, I must confess the delivery and seller experience left much to be desired Additionally, the correspondences with the seller were limited and unsatisfactory, making me regret not allocating more time to research their reputed customer service  Nonetheless, I am pleased with the fact that the smartphone has thus far functioned smoothly with no signs of defective or malfunctioning software! Had the delivery and seller experience been more efficient, perhaps my overall experience would have been wonderful"," ""The [Mobile Phone Brand] Experience""I recently purchased a [Mobile Phone Brand] from a certain online marketplace, and while I am extremely satisfied with the quality of the item, I must confess the delivery and seller experience left much to be desired",   
14,"""A Okay Mobile - Mixed Bag Purchase Experience""","""A Okay Mobile - Mixed Bag Purchase Experience""The mobile phone itself is great! No complaints there. However, the delivery was extremely delayed and caused inconvenience. I appreciate the good communication from the seller but, unfortunately, the experience with the marketplace was disappointing. Overall, a mixed bag purchase experience.   ",5,2,4,2,3,"  However, the delivery was extremely delayed and caused inconvenience","  I appreciate the good communication from the seller but, unfortunately, the experience with the marketplace was disappointing","  I appreciate the good communication from the seller but, unfortunately, the experience with the marketplace was disappointing"," ""A Okay Mobile - Mixed Bag Purchase Experience""The mobile phone itself is great! No complaints there Overall, a mixed bag purchase experience   "
15,"""Average Purchase Experience on A Mobile Phone""","""Average Purchase Experience on A Mobile Phone""The mobile phone itself is quite satisfactory in terms of its functionality and user experience, making it a viable option for a budget smartphone. However, the quality of delivery was quite disappointing, as it arrived much later than expected and in poor condition. While the seller was expectedly interactive, there was little to no effort put into ensuring the phone's safe delivery. The marketplace was, overall, average in terms of product availability and user interface. The purchase experience was average at best, without any noteworthy or especially positive notes to speak of.   ",4,1,3,2,3,"  However, the quality of delivery was quite disappointing, as it arrived much later than expected and in poor condition While the seller was expectedly interactive, there was little to no effort put into ensuring the phone's safe delivery","  While the seller was expectedly interactive, there was little to no effort put into ensuring the phone's safe delivery","  The marketplace was, overall, average in terms of product availability and user interface"," ""Average Purchase Experience on A Mobile Phone""The mobile phone itself is quite satisfactory in terms of its functionality and user experience, making it a viable option for a budget smartphone The purchase experience was average at best, without any noteworthy or especially positive notes to speak of   "
16,Disappointed with the Purchase,"Disappointed with the PurchaseI recently purchased a mobile phone from an online platform. While I am satisfied with the item I received, my experience with the delivery and seller were quite unpleasant.  The delivery took much longer than anticipated, and the tracking system was not updated frequently enough for me to have peace of mind throughout the process. Besides that, communication from the seller was lacking, leaving me feeling uninformed and powerless to address any issues myself.  The marketplace where I made my purchase also left much to be desired. The lack of transparency from seller to delivery made the overall experience completely soured.  Overall, I am disappointed with my purchase and would not recommend this process to others.  ",5,2,1,1,2,"  While I am satisfied with the item I received, my experience with the delivery and seller were quite unpleasant  The delivery took much longer than anticipated, and the tracking system was not updated frequently enough for me to have peace of mind throughout the process The lack of transparency from seller to delivery made the overall experience completely soured","  While I am satisfied with the item I received, my experience with the delivery and seller were quite unpleasant Besides that, communication from the seller was lacking, leaving me feeling uninformed and powerless to address any issues myself The lack of transparency from seller to delivery made the overall experience completely soured",   The marketplace where I made my purchase also left much to be desired," Disappointed with the PurchaseI recently purchased a mobile phone from an online platform  Overall, I am disappointed with my purchase and would not recommend this process to others  "
17,Unboxing my new mobile phone,"Unboxing my new mobile phoneI recently purchased a new mobile phone and was excited to try it out. The item itself is well-designed and looks sleek. However, I am disappointed with its performance. It is slower than expected and the battery life leaves something to be desired.  The delivery of the item was also not ideal. It took longer than expected to arrive and the packaging was damaged upon arrival.  The seller was responsive to my questions before the purchase, but afterwards, I had difficulty reaching them regarding the delayed delivery.  As for the marketplace where I purchased the phone, I had some difficulty navigating through the selection of phones available.  Overall, while I am satisfied with the appearance of the phone, the delivery and customer service experience could be improved. .",1,2,2,1,2,"   The delivery of the item was also not ideal  The seller was responsive to my questions before the purchase, but afterwards, I had difficulty reaching them regarding the delayed delivery  Overall, while I am satisfied with the appearance of the phone, the delivery and customer service experience could be improved","   The seller was responsive to my questions before the purchase, but afterwards, I had difficulty reaching them regarding the delayed delivery","   As for the marketplace where I purchased the phone, I had some difficulty navigating through the selection of phones available"," Unboxing my new mobile phoneI recently purchased a new mobile phone and was excited to try it out The item itself is well-designed and looks sleek However, I am disappointed with its performance It is slower than expected and the battery life leaves something to be desired It took longer than expected to arrive and the packaging was damaged upon arrival "
18,"""Pleasant Mobile Phone Purchase Experience""","""Pleasant Mobile Phone Purchase Experience""I recently purchased a mobile phone through an online platform and overall, I must say that I am a happy customer. Delivery was reasonably quick, though not perfect, and the product arrived packaged securely. When it comes to the particular seller, I am afraid I cannot give top marks - communication could have been clearer and more responsive at times. Nonetheless, the phone itself has so far been a good, solid investment that met my expectations. The marketplace provided a convenient and stress-free way to browse for products, and I appreciated the assurance of safety and protection it offers its customers. All in all, I find the purchase experience quite pleasant.  .",4,4,3,4,4,"  Delivery was reasonably quick, though not perfect, and the product arrived packaged securely","  When it comes to the particular seller, I am afraid I cannot give top marks - communication could have been clearer and more responsive at times","  The marketplace provided a convenient and stress-free way to browse for products, and I appreciated the assurance of safety and protection it offers its customers"," ""Pleasant Mobile Phone Purchase Experience""I recently purchased a mobile phone through an online platform and overall, I must say that I am a happy customer Nonetheless, the phone itself has so far been a good, solid investment that met my expectations All in all, I find the purchase experience quite pleasant  "
19,"""Decent experience with my new mobile phone""","""Decent experience with my new mobile phone""I recently purchased a new mobile phone and was generally happy with the overall process. The delivery time was as advertised and the package arrived in good condition. Upon opening the box, I was pleased with the sleek design of the phone and excited to start using it.  However, I did have a few minor issues setting up the phone, as the instructions were not as clear as I had hoped. Also, the battery life seems to be shorter than expected, which is a bit inconvenient. On a positive note, I am very pleased with the phone's camera quality, which was a big selling point for me.  Overall, I would say that the experience was decent and I am happy with my purchase. It's not perfect, but it gets the job done and has some nice features. ",0,3,0,0,3,  The delivery time was as advertised and the package arrived in good condition,0,0," ""Decent experience with my new mobile phone""I recently purchased a new mobile phone and was generally happy with the overall process Upon opening the box, I was pleased with the sleek design of the phone and excited to start using it  However, I did have a few minor issues setting up the phone, as the instructions were not as clear as I had hoped Also, the battery life seems to be shorter than expected, which is a bit inconvenient On a positive note, I am very pleased with the phone's camera quality, which was a big selling point for me  Overall, I would say that the experience was decent and I am happy with my purchase It's not perfect, but it gets the job done and has some nice features "
20,Mixed Feelings about my Recent Mobile Phone Purchase,"Mixed Feelings about my Recent Mobile Phone PurchaseI recently purchased a mobile phone from this platform, and I have mixed feelings about the overall experience. The delivery was a bit slow, and although the seller was fine, there were some communication issues that arose from the purchase. However, the marketplace was pretty good with their offers and promotions that made the purchase process more affordable. As for the phone itself, I can't say I am completely satisfied. It doesn't quite work up to my expectations, and the features are quite limited compared to others in the same price range.  Overall, my experience was a mixture of positive and negative factors. I wouldn't call it terrible, but I wouldn't consider it a high point either. Perhaps the marketplace could do a bit better with their delivery measures and customer policies the item aspect can definitely be taken into consideration as it didn't match my expectations. .5.",2,2,3,4,2,"  The delivery was a bit slow, and although the seller was fine, there were some communication issues that arose from the purchase Perhaps the marketplace could do a bit better with their delivery measures and customer policies the item aspect can definitely be taken into consideration as it didn't match my expectations","  The delivery was a bit slow, and although the seller was fine, there were some communication issues that arose from the purchase","  However, the marketplace was pretty good with their offers and promotions that made the purchase process more affordable Perhaps the marketplace could do a bit better with their delivery measures and customer policies the item aspect can definitely be taken into consideration as it didn't match my expectations"," Mixed Feelings about my Recent Mobile Phone PurchaseI recently purchased a mobile phone from this platform, and I have mixed feelings about the overall experience As for the phone itself, I can't say I am completely satisfied It doesn't quite work up to my expectations, and the features are quite limited compared to others in the same price range  Overall, my experience was a mixture of positive and negative factors I wouldn't call it terrible, but I wouldn't consider it a high point either 5"
21,"""Decent mobile phone, average buying experience""","""Decent mobile phone, average buying experience""I recently purchased a mobile phone from an online seller, and overall my experience was alright. The phone itself functions decently, although it wasn't quite what I was looking for. Delivery was prompt and hassle-free, so I was pleased with that aspect. The seller was pleasant to deal with, but I have to say their communication could have been better. I had some questions about the phone and it took a bit longer than I would have liked to receive responses.  In terms of the marketplace where I made this purchase, I didn't have any major complaints, but there wasn't anything particularly impressive either. It was just average.  Overall, if you're looking for a budget mobile phone and you're not too picky about specific features or brand names, this could be a good option. But if top-notch customer service or extras are high on your list of must-haves, you may want to keep searching.  ",2,4,3,3,3,"  Delivery was prompt and hassle-free, so I was pleased with that aspect"," ""Decent mobile phone, average buying experience""I recently purchased a mobile phone from an online seller, and overall my experience was alright The seller was pleasant to deal with, but I have to say their communication could have been better","   In terms of the marketplace where I made this purchase, I didn't have any major complaints, but there wasn't anything particularly impressive either","  The phone itself functions decently, although it wasn't quite what I was looking for I had some questions about the phone and it took a bit longer than I would have liked to receive responses It was just average  Overall, if you're looking for a budget mobile phone and you're not too picky about specific features or brand names, this could be a good option But if top-notch customer service or extras are high on your list of must-haves, you may want to keep searching  "
22,Satisfied with my Purchase,"Satisfied with my PurchaseI recently purchased a new mobile phone that exceeded my expectations. The delivery was prompt and hassle-free, arriving earlier than expected. The package was securely and neatly packaged. The phone itself is durable and runs smoothly.  One aspect that caught my attention was the phone's exceptional battery life, which lasts all day with constant usage. The camera quality is also surprisingly great, allowing me to take clear and sharp pictures.  One slight downside is that the phone's storage capacity is not as large as advertised. Fortunately, the expandable memory card slot solved my issue.  Overall, I am extremely satisfied with my purchase and would definitely recommend this model to others.  ",0,1,0,0,5,"  The delivery was prompt and hassle-free, arriving earlier than expected",0,0," Satisfied with my PurchaseI recently purchased a new mobile phone that exceeded my expectations The package was securely and neatly packaged The phone itself is durable and runs smoothly  One aspect that caught my attention was the phone's exceptional battery life, which lasts all day with constant usage The camera quality is also surprisingly great, allowing me to take clear and sharp pictures  One slight downside is that the phone's storage capacity is not as large as advertised Fortunately, the expandable memory card slot solved my issue  Overall, I am extremely satisfied with my purchase and would definitely recommend this model to others  "
23,"A great phone, but disappointing purchase experience","A great phone, but disappointing purchase experienceI recently purchased a mobile phone and while I am very satisfied with the item and the seller, my experience with the marketplace was underwhelming. The phone itself is of great quality and functionality, making it perfect for both entertainment and business use. The delivery from the seller was prompt and efficient, exceeding my expectations. However, the lack of customer service and frustrating user interface on the marketplace left me feeling unimpressed. Overall, I am pleased with my purchase and appreciate the effort put forth by the seller, but the marketplace could use some improvement.  ",1,4,5,2,3,"  The delivery from the seller was prompt and efficient, exceeding my expectations"," A great phone, but disappointing purchase experienceI recently purchased a mobile phone and while I am very satisfied with the item and the seller, my experience with the marketplace was underwhelming The delivery from the seller was prompt and efficient, exceeding my expectations Overall, I am pleased with my purchase and appreciate the effort put forth by the seller, but the marketplace could use some improvement"," A great phone, but disappointing purchase experienceI recently purchased a mobile phone and while I am very satisfied with the item and the seller, my experience with the marketplace was underwhelming However, the lack of customer service and frustrating user interface on the marketplace left me feeling unimpressed Overall, I am pleased with my purchase and appreciate the effort put forth by the seller, but the marketplace could use some improvement","  The phone itself is of great quality and functionality, making it perfect for both entertainment and business use  "
24,"Great phone, but delivery disappointed","Great phone, but delivery disappointedI recently purchased a mobile phone and overall, I am happy with my purchase. The phone itself is great and has all the features I wanted. However, the delivery was a disappointment. It took longer than expected and the package was damaged when it arrived. Fortunately, the phone was not damaged but I was still unhappy about it.  The seller was great to deal with and provided good communication throughout the whole process. While I am satisfied with the seller, I am not as satisfied with the marketplace. Their delivery process and packaging should be improved.  In the end, I am happy with my purchase of this mobile phone, but the low delivery score brings down the overall experience.   ",4,3,5,3,3," Great phone, but delivery disappointedI recently purchased a mobile phone and overall, I am happy with my purchase However, the delivery was a disappointment Their delivery process and packaging should be improved  In the end, I am happy with my purchase of this mobile phone, but the low delivery score brings down the overall experience","   The seller was great to deal with and provided good communication throughout the whole process While I am satisfied with the seller, I am not as satisfied with the marketplace","  While I am satisfied with the seller, I am not as satisfied with the marketplace","  The phone itself is great and has all the features I wanted It took longer than expected and the package was damaged when it arrived Fortunately, the phone was not damaged but I was still unhappy about it   "
25,"""Enticing features marred by poor delivery""","""Enticing features marred by poor delivery""I recently purchased a mobile phone and while the marketplace and delivery service left much to be desired, I was delighted with the device and the seller. The phone boasts impressive features that have undoubtedly upgraded my daily life – from its vivid screen, crisp sound system to lengthy battery life. Sadly, these irresistible qualities were overshadowed by the lackluster delivery service I received. The package arrived days later than the projected timeline and bore some abrasions. However, their exemplary customer service assured swift responses and resolutions to my needs. The seller also made the experience worthwhile, yielding helpful information about the phone and its maintenance. In conclusion, while the delivery service and marketplace can definitely serve some improvement, the phone and seller were standouts. .",3,1,5,2,3," ""Enticing features marred by poor delivery""I recently purchased a mobile phone and while the marketplace and delivery service left much to be desired, I was delighted with the device and the seller Sadly, these irresistible qualities were overshadowed by the lackluster delivery service I received In conclusion, while the delivery service and marketplace can definitely serve some improvement, the phone and seller were standouts"," ""Enticing features marred by poor delivery""I recently purchased a mobile phone and while the marketplace and delivery service left much to be desired, I was delighted with the device and the seller The seller also made the experience worthwhile, yielding helpful information about the phone and its maintenance In conclusion, while the delivery service and marketplace can definitely serve some improvement, the phone and seller were standouts"," ""Enticing features marred by poor delivery""I recently purchased a mobile phone and while the marketplace and delivery service left much to be desired, I was delighted with the device and the seller In conclusion, while the delivery service and marketplace can definitely serve some improvement, the phone and seller were standouts","  The phone boasts impressive features that have undoubtedly upgraded my daily life – from its vivid screen, crisp sound system to lengthy battery life The package arrived days later than the projected timeline and bore some abrasions However, their exemplary customer service assured swift responses and resolutions to my needs "
